created_at,total_order_count
13-01-2021,6
14-01-2021,14
15-01-2021,9
16-01-2021,7
17-01-2021,9
18-01-2021,8
19-01-2021,4
20-01-2021,10
21-01-2021,8
22-01-2021,12
23-01-2021,12
24-01-2021,7
25-01-2021,12
26-01-2021,5
27-01-2021,13
28-01-2021,6
29-01-2021,3
30-01-2021,12
31-01-2021,41
01-02-2021,11
02-02-2021,13
03-02-2021,6
04-02-2021,9
05-02-2021,7
06-02-2021,9
03-03-2022,308
07-02-2021,10
08-02-2021,9
09-02-2021,5
10-02-2021,16
11-02-2021,16
12-02-2021,12
13-02-2021,20
14-02-2021,10
15-02-2021,7
16-02-2021,4
17-02-2021,11
18-02-2021,5
19-02-2021,13
20-02-2021,5
21-02-2021,15
22-02-2021,10
23-02-2021,5
24-02-2021,17
25-02-2021,8
26-02-2021,14
27-02-2021,8
28-02-2021,18
01-03-2021,7
02-03-2021,13
03-03-2021,10
04-03-2021,13
05-03-2021,8
06-03-2021,17
07-03-2021,12
08-03-2021,8
09-03-2021,8
10-03-2021,8
11-03-2021,6
12-03-2021,10
13-03-2021,1
14-03-2021,25
15-03-2021,8
16-03-2021,10
17-03-2021,11
18-03-2021,7
19-03-2021,37
20-03-2021,16
21-03-2021,11
22-03-2021,14
23-03-2021,6
24-03-2021,2
25-03-2021,7
26-03-2021,24
27-03-2021,12
28-03-2021,11
29-03-2021,47
30-03-2021,8
31-03-2021,30
01-04-2021,11
02-04-2021,6
03-04-2021,5
04-04-2021,18
05-04-2021,14
06-04-2021,11
07-04-2021,15
08-04-2021,6
09-04-2021,11
10-04-2021,30
11-04-2021,5
12-04-2021,7
13-04-2021,4
14-04-2021,6
15-04-2021,3
16-04-2021,6
17-04-2021,6
18-04-2021,5
19-04-2021,5
20-04-2021,3
21-04-2021,33
22-04-2021,9
23-04-2021,5
24-04-2021,9
25-04-2021,6
26-04-2021,3
27-04-2021,5
28-04-2021,3
29-04-2021,15
30-04-2021,24
01-05-2021,23
02-05-2021,16
03-05-2021,6
04-05-2021,10
05-05-2021,10
06-05-2021,5
07-05-2021,12
08-05-2021,8
09-05-2021,12
10-05-2021,13
11-05-2021,4
12-05-2021,17
13-05-2021,6
14-05-2021,20
15-05-2021,9
16-05-2021,19
17-05-2021,13
18-05-2021,15
19-05-2021,34
20-05-2021,17
21-05-2021,21
22-05-2021,21
23-05-2021,8
24-05-2021,5
25-05-2021,10
26-05-2021,19
27-05-2021,19
28-05-2021,23
29-05-2021,12
30-05-2021,29
31-05-2021,13
01-06-2021,20
02-06-2021,19
03-06-2021,9
04-06-2021,14
05-06-2021,17
06-06-2021,24
07-06-2021,12
08-06-2021,9
09-06-2021,14
10-06-2021,13
11-06-2021,24
12-06-2021,13
13-06-2021,12
14-06-2021,6
15-06-2021,7
16-06-2021,24
17-06-2021,9
18-06-2021,14
19-06-2021,17
20-06-2021,12
21-06-2021,13
22-06-2021,5
23-06-2021,18
24-06-2021,7
25-06-2021,43
26-06-2021,9
27-06-2021,7
28-06-2021,15
29-06-2021,15
30-06-2021,8
01-07-2021,15
02-07-2021,8
03-07-2021,19
04-07-2021,17
05-07-2021,15
06-07-2021,10
07-07-2021,11
08-07-2021,10
09-07-2021,9
10-07-2021,19
11-07-2021,6
12-07-2021,6
13-07-2021,15
14-07-2021,12
15-07-2021,9
16-07-2021,14
17-07-2021,24
18-07-2021,10
19-07-2021,7
04-03-2022,115
20-07-2021,7
21-07-2021,50
22-07-2021,13
23-07-2021,20
24-07-2021,35
25-07-2021,24
26-07-2021,3
27-07-2021,7
28-07-2021,11
29-07-2021,4
30-07-2021,33
31-07-2021,20
01-08-2021,30
02-08-2021,4
03-08-2021,5
04-08-2021,20
05-08-2021,14
06-08-2021,11
07-08-2021,8
08-08-2021,24
09-08-2021,18
10-08-2021,10
11-08-2021,25
12-08-2021,12
13-08-2021,27
14-08-2021,24
15-08-2021,17
16-08-2021,8
17-08-2021,10
18-08-2021,10
19-08-2021,14
20-08-2021,15
21-08-2021,14
22-08-2021,43
23-08-2021,15
24-08-2021,8
25-08-2021,16
26-08-2021,7
27-08-2021,31
28-08-2021,17
29-08-2021,30
30-08-2021,16
31-08-2021,10
01-09-2021,22
02-09-2021,8
03-09-2021,39
04-09-2021,12
05-09-2021,12
06-09-2021,12
07-09-2021,16
08-09-2021,11
09-09-2021,8
10-09-2021,28
11-09-2021,32
12-09-2021,18
13-09-2021,16
14-09-2021,15
15-09-2021,18
16-09-2021,3
17-09-2021,18
18-09-2021,24
19-09-2021,28
20-09-2021,16
21-09-2021,30
22-09-2021,27
23-09-2021,4
24-09-2021,17
25-09-2021,7
26-09-2021,37
27-09-2021,14
28-09-2021,9
29-09-2021,26
30-09-2021,31
01-10-2021,21
02-10-2021,10
03-10-2021,18
05-03-2022,104
04-10-2021,6
05-10-2021,3
06-10-2021,27
07-10-2021,15
08-10-2021,11
09-10-2021,5
10-10-2021,16
11-10-2021,2
12-10-2021,16
13-10-2021,21
14-10-2021,15
15-10-2021,20
16-10-2021,49
17-10-2021,27
18-10-2021,19
19-10-2021,11
20-10-2021,19
21-10-2021,11
22-10-2021,19
23-10-2021,11
24-10-2021,33
25-10-2021,14
26-10-2021,20
27-10-2021,21
28-10-2021,27
29-10-2021,28
30-10-2021,11
31-10-2021,27
01-11-2021,12
02-11-2021,4
03-11-2021,76
04-11-2021,71
05-11-2021,59
06-11-2021,36
07-11-2021,13
08-11-2021,9
09-11-2021,16
10-11-2021,22
11-11-2021,11
12-11-2021,29
13-11-2021,9
14-11-2021,22
15-11-2021,16
16-11-2021,12
17-11-2021,15
18-11-2021,5
19-11-2021,27
20-11-2021,10
21-11-2021,11
22-11-2021,17
23-11-2021,11
25-11-2021,14
28-11-2021,12
29-11-2021,11
02-12-2021,9
07-12-2021,10
10-12-2021,15
11-12-2021,21
12-12-2021,4
13-12-2021,18
14-12-2021,12
15-12-2021,9
16-12-2021,11
06-03-2022,151
18-12-2021,26
19-12-2021,24
20-12-2021,7
21-12-2021,19
22-12-2021,6
23-12-2021,25
24-12-2021,58
25-12-2021,25
26-12-2021,14
28-12-2021,7
30-12-2021,6
31-12-2021,48
01-01-2022,9
02-01-2022,7
03-01-2022,16
04-01-2022,8
05-01-2022,104
06-01-2022,21
07-01-2022,17
09-01-2022,10
13-01-2022,5
15-01-2022,39
16-01-2022,30
17-01-2022,5
18-01-2022,14
19-01-2022,83
20-01-2022,17
21-01-2022,24
22-01-2022,44
23-01-2022,14
25-01-2022,12
26-01-2022,19
27-01-2022,6
29-01-2022,8
30-01-2022,28
31-01-2022,16
07-03-2022,107
08-03-2022,158
09-03-2022,252
10-03-2022,186
11-03-2022,138
12-03-2022,207
13-03-2022,229
14-03-2022,76
15-03-2022,78
16-03-2022,246
17-03-2022,73
18-03-2022,217
19-03-2022,9
20-03-2022,14
21-03-2022,82
22-03-2022,210
23-03-2022,264
24-03-2022,279
25-03-2022,367
26-03-2022,147
27-03-2022,449
28-03-2022,40
29-03-2022,241
30-03-2022,226
31-03-2022,334
01-04-2022,112
02-04-2022,15
03-04-2022,52
04-04-2022,161
05-04-2022,140
06-04-2022,114
07-04-2022,122
08-04-2022,163
09-04-2022,133
10-04-2022,341
11-04-2022,174
12-04-2022,121
13-04-2022,149
14-04-2022,174
15-04-2022,259
16-04-2022,338
17-04-2022,142
18-04-2022,176
19-04-2022,103
20-04-2022,88
21-04-2022,11
22-04-2022,73
23-04-2022,165
24-04-2022,227
25-04-2022,201
26-04-2022,183
27-04-2022,105
28-04-2022,180
29-04-2022,119
30-04-2022,159
01-05-2022,223
02-05-2022,240
03-05-2022,394
04-05-2022,211
05-05-2022,109
06-05-2022,287
07-05-2022,310
08-05-2022,159
09-05-2022,252
10-05-2022,265
11-05-2022,172
12-05-2022,134
13-05-2022,386
14-05-2022,287
15-05-2022,367
16-05-2022,201
17-05-2022,112
18-05-2022,115
19-05-2022,293
20-05-2022,47
